x,y
4.5,5.5
4.659999847412109,5.5
4.819999694824219,5.5
4.979999542236328,5.5
5.1399993896484375,5.5
5.299999237060547,5.5
5.459999084472656,5.5
5.619998931884766,5.5
5.779998779296875,5.5
5.939998626708984,5.5
6.099998474121094,5.5
6.259998321533203,5.5
6.4199981689453125,5.5
6.5800018310546875,5.5
6.740001678466797,5.5
6.900001525878906,5.5
7.060001373291016,5.5
7.220001220703125,5.5
7.380001068115234,5.5
7.540000915527344,5.5
7.700000762939453,5.5
7.8600006103515625,5.5
8.020000457763672,5.5
8.180000305175781,5.5
8.34000015258789,5.5
8.5,5.5
8.65999984741211,5.5
8.819999694824219,5.5
8.979999542236328,5.5
9.139999389648438,5.5
9.299999237060547,5.5
9.459999084472656,5.5
9.619998931884766,5.5
9.779998779296875,5.5
9.939998626708984,5.5
10.099998474121094,5.5
10.260002136230469,5.5
10.419998168945312,5.5
10.580001831054688,5.5
10.739997863769531,5.5
10.900001525878906,5.5
11.060001373291016,5.5
11.220001220703125,5.5
11.380001068115234,5.5
11.540000915527344,5.5
11.700000762939453,5.5
11.860000610351562,5.5
12.020000457763672,5.5
12.180000305175781,5.5
12.34000015258789,5.5
12.5,5.5
12.65999984741211,5.5
12.819999694824219,5.5
12.979999542236328,5.5
13.139999389648438,5.5
13.299999237060547,5.5
13.459999084472656,5.5
13.619998931884766,5.5
13.779998779296875,5.5
13.939998626708984,5.5
14.100000381469727,5.5
14.260000228881836,5.5
14.420000076293945,5.5
14.579999923706055,5.5
14.739999771118164,5.5
14.899999618530273,5.5
15.060001373291016,5.5
15.220001220703125,5.5
15.380001068115234,5.5
15.540000915527344,5.5
15.700000762939453,5.5
15.860000610351562,5.5
16.020000457763672,5.5
16.18000030517578,5.5
16.34000015258789,5.5
16.5,5.5
16.65999984741211,5.5
16.81999969482422,5.5
16.979999542236328,5.5
17.139999389648438,5.5
17.299999237060547,5.5
17.459999084472656,5.5
17.619998931884766,5.5
17.779998779296875,5.5
17.939998626708984,5.5
18.100000381469727,5.5
18.260000228881836,5.5
18.420000076293945,5.5
18.579999923706055,5.5
18.739999771118164,5.5
18.899999618530273,5.5
19.060001373291016,5.5
19.220001220703125,5.5
19.380001068115234,5.5
19.540000915527344,5.5
19.700000762939453,5.5
19.860000610351562,5.5
20.020000457763672,5.5
20.18000030517578,5.5
20.34000015258789,5.5
20.5,5.5
20.65999984741211,5.5
20.81999969482422,5.5
20.979999542236328,5.5
21.139999389648438,5.5
21.299999237060547,5.5
21.459999084472656,5.5
21.6200008392334,5.5
21.780000686645508,5.5
21.940000534057617,5.5
22.100000381469727,5.5
22.260000228881836,5.5
22.420000076293945,5.5
22.579999923706055,5.5
22.739999771118164,5.5
22.899999618530273,5.5
23.059999465942383,5.5
23.219999313354492,5.5
23.3799991607666,5.5
23.540000915527344,5.5
23.700000762939453,5.5
23.860000610351562,5.5
24.020000457763672,5.5
24.18000030517578,5.5
24.34000015258789,5.5
24.5,5.5
24.65999984741211,5.5
24.81999969482422,5.5
24.979999542236328,5.5
25.139999389648438,5.5
25.299999237060547,5.5
25.459999084472656,5.5
25.6200008392334,5.5
25.780000686645508,5.5
25.940000534057617,5.5
26.100000381469727,5.5
26.260000228881836,5.5
26.420000076293945,5.5
26.579999923706055,5.5
26.739999771118164,5.5
26.899999618530273,5.5
27.059999465942383,5.5
27.219999313354492,5.5
27.3799991607666,5.5
27.540000915527344,5.5
27.700000762939453,5.5
27.860000610351562,5.5
